"unique_id","date_of_bite","species","breed","age","gender","spay_neuter","borough","zip_code","year","address","lat","long"
8488,2018-05-30,"DOG","JACK RUSSELL MIX","2","M",TRUE,"Queens","11372",2018,"11372 Queens New York, USA",40.7514429904614,-73.883201182621
8490,2018-06-04,"DOG","UNKNOWN",NA,"U",FALSE,"Queens","11358",2018,"11358 Queens New York, USA",40.7608576743433,-73.7959402085136
8491,2018-06-02,"DOG","Pit Bull","9","F",TRUE,"Queens","11415",2018,"11415 Queens New York, USA",40.7067860041137,-73.8313905810647
8492,2018-06-03,"DOG","TERRIER MIX","2","M",TRUE,"Queens","11385",2018,"11385 Queens New York, USA",40.7039098646973,-73.8925728272779
8494,2018-06-04,"DOG","PIT BULL MIX","6","M",FALSE,"Queens","11420",2018,"11420 Queens New York, USA",40.675381195899,-73.8150708914465
8495,2018-06-04,"DOG","UNKNOWN",NA,"U",FALSE,"Queens","11373",2018,"11373 Queens New York, USA",40.7397822779623,-73.8785793906172
8496,2018-05-25,"DOG","German Shepherd","3","M",FALSE,"Queens","11694",2018,"11694 Queens New York, USA",40.5774679790288,-73.8465686676506
8498,2018-06-02,"DOG","Pit Bull","7","M",FALSE,"Queens","11433",2018,"11433 Queens New York, USA",40.6972484621724,-73.7869127277119
8499,2018-06-06,"DOG","SMALL MIXED BREED",NA,"U",FALSE,"Queens","11357",2018,"11357 Queens New York, USA",40.7851121939725,-73.8104846891973
8500,2018-06-07,"DOG","MIXED BREED","8","F",FALSE,"Queens","11434",2018,"11434 Queens New York, USA",40.677346111382,-73.7794784470425
8501,2018-05-22,"DOG","Bloodhound","4","M",FALSE,"Queens","11101",2018,"11101 Queens New York, USA",40.7484537874023,-73.9388229837098
8503,2018-05-30,"DOG","UNKNOWN",NA,"U",FALSE,"Queens","11374",2018,"11374 Queens New York, USA",40.7249687243842,-73.861909095793
8504,2018-06-06,"DOG","BORDER COLLIE X","4","F",TRUE,"Queens","11374",2018,"11374 Queens New York, USA",40.7249687243842,-73.861909095793
8505,2018-06-06,"DOG","American Pit Bull Mix / Pit Bull Mix","7","F",FALSE,"Queens","11434",2018,"11434 Queens New York, USA",40.677346111382,-73.7794784470425
8506,2018-06-09,"DOG","AMERICAN BULLY","3","F",FALSE,"Queens","11413",2018,"11413 Queens New York, USA",40.6731204549014,-73.7496611172739
8507,2018-06-08,"DOG","Yorkshire Terrier","8","F",TRUE,"Queens","11691",2018,"11691 Queens New York, USA",40.6015466168774,-73.7576690296824
8509,2018-06-07,"DOG","Shih Tzu","9","M",TRUE,"Queens","11422",2018,"11422 Queens New York, USA",40.6635696501494,-73.7355811005432
8510,2018-05-15,"DOG","Pit Bull",NA,"U",FALSE,"Queens","11421",2018,"11421 Queens New York, USA",40.6910488625114,-73.8577829040738
8511,2018-06-07,"DOG","Schnauzer, Miniature","1","M",FALSE,"Queens","11373",2018,"11373 Queens New York, USA",40.7397822779623,-73.8785793906172
8512,2018-06-09,"DOG","UNKNOWN",NA,"U",FALSE,"Queens","11412",2018,"11412 Queens New York, USA",40.6978841605023,-73.7581213082323
8513,2018-06-10,"DOG","UNKNOWN",NA,"M",FALSE,"Queens","11412",2018,"11412 Queens New York, USA",40.6978841605023,-73.7581213082323
8514,2018-06-08,"DOG","ROTTWEILER / HUSKY MIX","8","M",FALSE,"Queens","11377",2018,"11377 Queens New York, USA",40.7448179286266,-73.9043849878731
8515,2018-06-09,"DOG","American Pit Bull Mix / Pit Bull Mix","1","M",FALSE,"Queens","11365",2018,"11365 Queens New York, USA",40.7387437358211,-73.7932797307975
8517,2018-06-09,"DOG","SHEPHERD / BORDER COLLIE MIX","4","M",TRUE,"Queens","11693",2018,"11693 Queens New York, USA",40.5991219180358,-73.8180343295548
8518,2018-06-13,"DOG","Pit Bull","5","M",FALSE,"Queens","11356",2018,"11356 Queens New York, USA",40.7859742804839,-73.844753369866
8519,2018-06-13,"DOG","Pit Bull","5","M",FALSE,"Queens","11356",2018,"11356 Queens New York, USA",40.7859742804839,-73.844753369866
